"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"IAU","iシェアーズ ゴールド・トラスト","金地金価格（ロンドン午後金値決め）","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/iau-ishares-gold-trust.pdf","金地金価格の日々の変動におおむね対応することを目標としています。当トラストの目標は、常に当該時点でトラストが保有する金の価格からトラストの費用および負債を控除した値を反映させることです。 "
"IBB","iシェアーズ  バイオテクノロジー ETF","NYSEバイオテクノロジー指数","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/ibb-ishares-biotechnology-etf-fund-fact-sheet-en-us.pdf","一般にNYSEバイオテクノロジー指数によって代表されるバイオテクノロジーおよび医薬関連銘柄の価格、および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"ICLN","iシェアーズ グローバル・クリーンエネルギー ETF","S&P グローバル クリーンエネルギー インデックス","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/icln-ishares-global-clean-energy-etf-fund-fact-sheet-en-us.pdf","iシェアーズ S&P グローバル・クリーンエネルギー・インデックス・ファンドは、S&P グローバル・クリーンエネルギー指数の価格および利回りの実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"IDHQ","インベスコ S&P世界先進国クオリティ ETF","S&P 世界先進国ハイクオリティ・ランキング・インデックス","NYSE Arca","https://www.invesco.com/us-rest/contentdetail?contentId=35f8e01e98630410VgnVCM10000046f1bf0aRCRD&dnsName=us","QSG先進国オポチュニティーズ指数に連動する投資成績を目標としている海外ETFです。従来のETFと異なるインテリジェントETFであり、高いパフォーマンスを目指しています。"
"IDX","ヴァンエック ベクトル インドネシア インデックス ETF","ヴァンエック・べクトル・インドネシア・インデックス","NYSE Arca","https://www.vaneck.com/us/en/investments/indonesia-index-etf-idx-fact-sheet.pdf","インドネシアETFは、ヴァンエック・べクトル・インドネシア・インデックスの価格と利回り（手数料や経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、インドネシアに本社があり主にインドネシアで上場されているか、売上高の50%以上をインドネシア国内の売上高が占めている上場企業へのエクスポージャーを提供します。したがって、当ファンドには同国への投資リスクが伴います。"
"IEF","iシェアーズ 米国国債 7-10年 ETF","ICE米国財務省（7-10年）インデックス","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/ief-ishares-barclays-7-10-year-treasury-bond-fund.pdf","バークレイズ 米国国債（7-10年）インデックスに連動する。同インデックスは満期まで7年以上10年未満の残存期間を有し、かつ2億5,000万米ドル以上の発行済額面残高を有する、投資適格以上に格付けされた米ドル建ての米国財務省証券での実績を測定する。"
"IEMG","iシェアーズ・コア MSCI エマージング・マーケット ETF","MSCI エマージング・マーケット IMI インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/iemg-ishares-core-msci-emerging-markets-etf.pdf","MSCIエマージング・マーケットIMIインデックスによって測定される価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。"
"IEV","iシェアーズ ヨーロッパ ETF","S&P ヨーロッパ350 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/iev-ishares-sp-europe-350-index-fund.pdf","スタンダード＆プアーズ ヨーロッパ350 インデックスによって表され、10以上の市場セクターをカバーして地理的／経済的多様性を提供する350の株式銘柄の株価および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。 "
"IFGL","iシェアーズ 先進国（除く米国）不動産 ETF","FTSE EPRA Nareit 先進国（除く米国）不動産インデックスの価格および利回り実績","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/ifgl-ishares-ftse-epranareit-developed-real-estate-ex-us-index-fund.pdf","FTSE EPRA Nareit 先進国（除く米国）不動産インデックスの価格および利回り実績と同等水準の投資性か（報酬および経費控除前）を目指します。このインデックスはカナダ、欧州およびアジアの不動産市場の不動産保有、売買および開発に携わる企業のパフォーマンスを測る指標です。"
"IGF","iシェアーズ グローバル・インフラ ETF","S&P グローバル インフラストラクチャー インデックス","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/igf-ishares-sp-global-infrastructure-index-fund.pdf","iシェアーズ S&P グローバル・インフラストラクチャー・インデックス・ファンドは、S&P グローバル・インフラストラクチャー指数の価格および利回りの実績と同等水準の投資成果（報酬および経費控除前）を目指しています。"
"IGIB","iシェアーズ 米ドル建て社債 5-10年ETF","ブルームバーグ・バークレイズ 米国クレジット(1-10年)インデックス","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/igib-ishares-5-10-year-investment-grade-corporate-bond-etf-fund-fact-sheet-en-us.pdf","ブルームバーグ・バークレイズ 米国クレジット(1-10年)インデックスに連動する。同インデックスは残存期間が1～10年で発行残高（額面ベース）2億5000万ドル超の米ドル建て投資適格債券を組み入れている。"
"IGLD","FT Vest ゴールド戦略 ターゲットインカムETF","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=81edd75e-31a3-48f9-a52f-376ab183c37b","安定資産である金の価格リターンを追求しながら、継続的なインカム収益獲得の実現を目指します。"
"IGOV","iシェアーズ 世界国債（除く米国）ETF","FTSE世界先進国債キャップ・セレクト・インデックス","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/igov-ishares-spcitigroup-international-treasury-bond-fund.pdf","S&Pシティグループ・インターナショナル・トレジャリー・ボンド・インデックス（除く米国）の価格及び利回りの実績に概ね対応する投資成果（手数料及び経費控除前）をあげることを目標としています。"
"IGSB","iシェアーズ 米ドル建て社債1-5年ETF ","ICE バンクオブアメリカ・メリルリンチ1-5年米国社債インデックス","NASDAQ","https://www.ishares.com/us/literature/fact-sheet/igsb-ishares-1-5-year-investment-grade-corporate-bond-etf-fund-fact-sheet-en-us.pdf","iシェアーズ短期社債ETF（iShares Short-Term Corporate Bond ETF）は、米国籍のETF（上場投資信託）。米ドル建てで投資適格かつ残存期間1-3年の、社債、ソブリン債、国際 機関債、地方債、および非米国政府機関債で構成されるインデックス、具体的には、ICE バンクオブアメリカ・メリルリンチ1-5年米国社債インデックスに連動する投資成果を目 指す。 "
"IHY","ヴァンエック ベクトル　国際ハイイールド債ETF","BofA Merrill Lynchグローバル・ハイイールド・コンストレインド・インデックス（米国を除く）","NYSE Arca","https://www.vaneck.com/us/en/investments/international-high-yield-bond-etf-ihy-fact-sheet.pdf","BofA Merrill Lynchグローバル・ハイイールド・コンストレインド・インデックス（米国を除く)に連動する運用実績を目指します。"
"IJH","iシェアーズ・コア S&P 中型株 ETF","S&P MidCap 400 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ijh-ishares-sp-midcap-400-index-fund.pdf","スタンダード・アンド・プアーズMidCap 400インデックスによって代表される米国の中型株の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。"
"IJR","iシェアーズ・コア S&P 小型株 ETF","S&P 小型株600 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ijr-ishares-sp-smallcap-600-index-fund.pdf","スタンダード･アンド･プアーズSmallCap 600 インデックスによって代表される米国の小型株の価格および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。"
"ILDR","FTイノベーションリーダーズETF","--","NYSE Arca","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=64eabded-bf63-4f44-b4d8-b523c39f7c0f","イノベーションを牽引する企業に投資するアクティブ運用ファンド。"
"ILF","iシェアーズ ラテンアメリカ 40 ETF","S&P ラテンアメリカ40 インデックス","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/ilf-ishares-sp-latin-america-40-index-fund.pdf","スタンダード＆プアーズ ラテンアメリカ40インデックスによって表されるメキシコおよび南米の企業の株価および利回り実績と同等水準の投資成果（報酬および経費控除前）を目指しています。"
"INDL","Direxion デイリー MSCI インド株 ブル2倍 ETF","インダス インディア指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_INDL_160510.pdf","--"
"INKM","SPDR SSGA インカム アロケーション ETF","アクティブ","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-inkm.pdf","配当および利回りを重視し、株式、米国債券、社債、転換社債、優先証券、グローバルREITなど様々な資産へ投資する。"
"INTW","グラナイトS 2倍 ロング INTC デイリー ETF","--","NASDAQ","https://graniteshares.com/media/rwwiubd2/intw-graniteshares-2x-long-intc-daily-etf.pdf","インテル(NASDAQ：INTC)普通株式の日次変動率の２倍（200％）を目指します。"
"IONL","グラナイトS2倍 ロング IONQ デイリーETF","--","NASDAQ","https://graniteshares.com/media/xxwbmiee/ionl-graniteshares-2x-long-ionq-daily-etf.pdf","IonQ Inc(NYSE:IONQ)の日次変動率の2 倍（200％）の投資成果を目指す。"
